number,dataset,N,d,n_ano,ano_rate,category,anomaly_ratio
1,aloi,49534,27,1508,3.04,Large,3% - 8%
2,annthyroid,7200,6,534,7.42,Medium,3% - 8%
3,backdoor,95329,196,2329,2.44,High-dimensional,< 3%
4,breastw,683,9,239,34.99,Small,> 25%
5,campaign,41188,62,4640,11.27,High-dimensional,8% - 13%
6,cardio,1831,21,176,9.61,Medium,8% - 13%
7,cardiotocography,2114,21,466,22.04,Medium,13% - 25%
8,celeba,202599,39,4547,2.24,Large,< 3%
9,census,299285,500,18568,6.2,High-dimensional,3% - 8%
10,cover,286048,10,2747,0.96,Large,< 3%
11,donors,619326,10,36710,5.93,Large,3% - 8%
12,fault,1941,27,673,34.67,Medium,> 25%
13,fraud,284807,29,492,0.17,Large,< 3%
14,glass,214,7,9,4.21,Small,3% - 8%
15,hepatitis,80,19,13,16.25,Small,13% - 25%
16,http,567498,3,2211,0.39,Large,< 3%
17,internetads,1966,1555,368,18.72,High-dimensional,13% - 25%
18,ionosphere,351,32,126,35.9,Small,> 25%
19,landsat,6435,36,1333,20.71,Medium,13% - 25%
20,letter,1600,32,100,6.25,Medium,3% - 8%
21,lymphography,148,18,6,4.05,Small,3% - 8%
22,magic.gamma,19020,10,6688,35.16,Large,> 25%
23,mammography,11183,6,260,2.32,Large,< 3%
24,mnist,7603,100,700,9.21,High-dimensional,8% - 13%
25,musk,3062,166,97,3.17,High-dimensional,3% - 8%
26,optdigits,5216,64,150,2.88,High-dimensional,< 3%
27,pageblocks,5393,10,510,9.46,Medium,8% - 13%
28,pendigits,6870,16,156,2.27,Medium,< 3%
29,pima,768,8,268,34.9,Small,> 25%
30,satellite,6435,36,2036,31.64,Medium,> 25%
31,satimage-2,5803,36,71,1.22,Medium,< 3%
32,shuttle,49097,9,3511,7.15,Large,3% - 8%
33,skin,245057,3,50859,20.75,Large,13% - 25%
34,smtp,95156,3,30,0.03,Large,< 3%
35,spambase,4207,57,1679,39.91,High-dimensional,> 25%
36,speech,3686,400,61,1.65,High-dimensional,< 3%
37,stamps,340,9,31,9.12,Small,8% - 13%
38,thyroid,3772,6,93,2.47,Medium,< 3%
39,vertebral,240,6,30,12.5,Small,8% - 13%
40,vowels,1456,12,50,3.43,Medium,3% - 8%
41,waveform,3443,21,100,2.9,Medium,< 3%
42,wbc,223,9,10,4.48,Small,3% - 8%
43,wdbc,367,30,10,2.72,Small,< 3%
44,wilt,4819,5,257,5.33,Medium,3% - 8%
45,wine,129,13,10,7.75,Small,3% - 8%
46,wpbc,198,33,47,23.74,Small,13% - 25%
47,yeast,1484,8,507,34.16,Medium,> 25%
